archivo,linea,tipo,etiqueta_latex,titulo,fila,columna,valor_crudo,valor
inattention_energy_prices.tex,701,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"10:1,000,000,000",1,"698,676,376",698676376.0
inattention_energy_prices.tex,701,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"10:1,000,000,000",2,0.909,0.909
inattention_energy_prices.tex,701,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"10:1,000,000,000",3,0.699,0.699
inattention_energy_prices.tex,701,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"10:1,000,000,000",4,30.00,30.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],0,2,2.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],1,100,100.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],2,200,200.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],3,300,300.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],4,400,400.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],5,500,500.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],6,600,600.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],7,700,700.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],8,800,800.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],9,900,900.0
inattention_energy_prices.tex,802,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,0:CAP[MtCO_2],10,1000,1000.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],1,145,145.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],2,290,290.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],3,435,435.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],4,580,580.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],5,654,654.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],6,620,620.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],7,661,661.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],8,611,611.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],9,609,609.0
inattention_energy_prices.tex,803,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,1:[Millones],10,699,699.0
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,1,232.54,232.54
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,2,155.49,155.49
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,3,123.21,123.21
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,4,93.90,93.9
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,5,87.48,87.48
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,6,90.44,90.44
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,7,105.74,105.74
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,8,95.05,95.05
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,9,93.38,93.38
inattention_energy_prices.tex,804,tabla,TCpidporcap,Initial electricity prices ( ^d) per CAP in Quadratic Rate Model.,2:^d,10,94.53,94.53
inattention_energy_prices.tex,886,tabla,resultadosprecision,Precision Model results.,"1:100,000,000",0,"100,000,000",100000000.0
inattention_energy_prices.tex,886,tabla,resultadosprecision,Precision Model results.,"1:100,000,000",1,"120,200,000",120200000.0
inattention_energy_prices.tex,886,tabla,resultadosprecision,Precision Model results.,"1:100,000,000",2,0.798,0.798
inattention_energy_prices.tex,886,tabla,resultadosprecision,Precision Model results.,"1:100,000,000",3,1.202,1.202
inattention_energy_prices.tex,886,tabla,resultadosprecision,Precision Model results.,"1:100,000,000",4,270.13,270.13
inattention_energy_prices.tex,887,tabla,resultadosprecision,Precision Model results.,"2:200,000,000",0,"200,000,000",200000000.0
inattention_energy_prices.tex,887,tabla,resultadosprecision,Precision Model results.,"2:200,000,000",1,"240,400,000",240400000.0
